Taxon	Context	Cluster	k-value
o__Methylococcales	Bathypelagic	Cl_Mix_3	0.0
o__Methylococcales	Mesopelagic	Cl_Mix_3	0.0
Unspecified	Epipelagic	Cl_Mix_3	0.0
Unspecified	Bathypelagic	Cl_Mix_3	0.0
Unspecified	Mesopelagic	Cl_Mix_3	0.0
s__Marinobacter hydrocarbonoclasticus	Epipelagic	Cl_Mix_3	0.0
s__Marinobacter hydrocarbonoclasticus	Bathypelagic	Cl_Mix_3	0.0
s__Marinobacter hydrocarbonoclasticus	Mesopelagic	Cl_Mix_3	0.0
s__	Epipelagic	Cl_Mix_3	0.0
s__	Bathypelagic	Cl_Mix_3	0.0
s__	Mesopelagic	Cl_Mix_3	3.543
s__Pseudomonas_A stutzeri_AB	Epipelagic	Cl_Mix_3	0.0
s__Pseudomonas_A stutzeri_AB	Bathypelagic	Cl_Mix_3	0.0
s__Pseudomonas_A stutzeri_AB	Mesopelagic	Cl_Mix_3	0.0
g__Marinobacter	Epipelagic	Cl_Mix_3	0.0
g__Marinobacter	Bathypelagic	Cl_Mix_3	0.0
g__Marinobacter	Mesopelagic	Cl_Mix_3	0.0
s__UBA7803 sp002480525	Epipelagic	Cl_Mix_3	0.0
s__UBA7803 sp002480525	Bathypelagic	Cl_Mix_3	0.0
s__UBA7803 sp002480525	Mesopelagic	Cl_Mix_3	0.0
o__Pseudomonadales	Epipelagic	Cl_Mix_3	0.0
o__Pseudomonadales	Bathypelagic	Cl_Mix_3	0.0
o__Pseudomonadales	Mesopelagic	Cl_Mix_3	0.0
s__Labrenzia aggregata	Epipelagic	Cl_Mix_3	0.0
